,name_eng,city_eng,country_eng,latitude,longitude
1377,Clear Lake,Clear Lake,United States,39.002952,-122.796935
1378,Chongqing Jiangbei International,Chongqing,China,29.719217,106.641678
1379,Chokurdah,Chokurdah,Russian Federation,70.623056,147.901667
1380,Croker Island,Croker Island,Australia,-11.163611,132.483056
1381,Cherokee,Cherokee,United States,36.28333333,-91.5
1382,Chkalovsky,Chkalovsky,Russian Federation,51.75,55.38333333
1383,Fletcher Field,Clarksdale,United States,34.299722,-90.512306
1384,Municipal,Crookston,United States,47.841657,-96.621454
1385,Cornelio Procopio,Cornelio Procopio,Brazil,-23.152508,-50.602511
1386,Crane Island,Crane Island,United States,48.6,-123
1387,Carajas,Carajas,Brazil,-6.117806,-50.003472
1388,Sarakhs,Sarakhs,Iran,36.501178,61.064903
1389,City,Cordova,United States,60.543903,-145.726704
1390,Outlaw Field,Clarksville,United States,36.621881,-87.414954
1391,Chicken,Chicken,United States,64.071338,-141.952279
1392,Conakry,Conakry,Guinea,9.576889,-13.611961
1393,Canakkale,Canakkale,Turkey,40.137722,26.426777
1394,Comilla,Comilla,Bangladesh,23.433,91.183
1395,Castlebar,Castlebar,Ireland,53.848465,-9.280306
1396,Metroport,Clearlake,United States,29.5575,-95.13916667
1397,Mc Clellan-Palomar Airport,"Carlsbad, CA",United States,33.12825,-117.280083
1398,Hopkins International,Cleveland,United States,41.409417,-81.85498
1399,Coalinga,Coalinga,United States,36.163139,-120.293814
1400,Coolah,Coolah,Australia,-31.773333,149.610001
1401,Clintonville,Clintonville,United States,44.613279,-88.730698
1402,Cluj Napoca International Airport,Cluj-Napoca,Romania,46.785092,23.686119
1403,Municipal,Clinton,United States,35.538272,-98.932789
1404,Easterwood Field,"College Station, TX",United States,30.588583,-96.363833
1405,Fairchild Intl,Port Angeles,United States,48.120194,-123.499694
1406,Carolina,Carolina,Brazil,-7.320444,-47.458667
1407,Alfonso B. Aragon,Cali,Colombia,3.543056,-76.381667
1408,Clarks Point,Clarks Point,United States,58.833694,-158.529389
1409,Colima,Colima,Mexico,19.277011,-103.577397
1410,Calipatria,Calipatria,United States,33.131332,-115.521389
1411,Centralia,Chehalis,United States,46.677029,-122.982747
1412,Charlotte Douglas,Charlotte,United States,35.213741,-80.949069
1413,Columbus Municipal,Columbus,United States,39.261917,-85.896333
1414,Caldas Novas,Caldas Novas,Brazil,-17.72525,-48.607492
1415,Executive,Clearwater,Canada,27.976686,-82.75874
1416,Clorinda,Clorinda,Paraguay,-25.303889,-57.733889
1417,Ste Catherine,Calvi,France,42.520364,8.793028
1418,Calabozo,Calabozo,Venezuela,8.924656,-67.417094
1419,Cunnamulla,Cunnamulla,Australia,-28.03,145.622222
1420,Bandaranayake,Colombo,Sri Lanka,7.180756,79.884117
1421,Camocim,Camocim,Brazil,-2.896183,-40.857994
1422,Cootamundra,Cootamundra,Australia,-34.623889,148.028056
1423,Ciudad Del Carmen,Ciudad Del Carmen,Mexico,18.653739,-91.799017
1424,Chambery,Chambery,France,45.639167,5.88
1425,Intl. Airport Corumba,Corumba,Brazil,-19.011931,-57.673053
1426,Port Columbus Intl,Columbus,United States,39.997972,-82.891889
1427,University Of Illinois Willard,Champaign,United States,40.038833,-88.277806
1428,Chi Mei,Chi Mei,Taiwan,23.213056,119.4175
1429,Club Makokola,Club Makokola,Malawi,-14.306944,35.1325
1430,Camooweal,Camooweal,Australia,-19.912499,138.125
1431,Carmelita,Carmelita,Guatemala,17.45,-90.05
1432,Mohamed V,Casablanca,Morocco,33.367466,-7.589967
1433,Obbia,Obbia,Ethiopia,5.293,48.439
1434,Campo Alegre,Santana Do Araguaia,Brazil,-9.319975,-50.328542
1435,Clermont,Clermont,Australia,-22.773056,147.620556
1436,Colmar-houssen,Colmar,France,48.11035,7.359147
1437,Scusciuban,Scusciuban,Ethiopia,10.3,50.233
1438,Cameta,Cameta,Brazil,-2.2425,-49.506667
1439,Chimbu,Kundiawa,Papua New Guinea,-6.024292,144.970528
1440,Coromandel,Coromandel,New Zealand,-36.791667,175.508611
1441,Ign Agramonte Intl,Camaguey,Cuba,21.420428,-77.847433
1442,Houghton County,Hancock,United States,47.168417,-88.489061
1443,Fort Mccoy,Sparta,United States,43.958372,-90.737897
1444,Caia,Caia,Mozambique,-25.31666667,32.96666667
1445,Cananea,Cananea,Mexico,31,-110.267
1446,Coonamble,Coonamble,Australia,-30.983333,148.375556
1447,Coconut Island,Coconut Island,Australia,-10.05,143.066667
1448,Kogalniceanu,Constanta,Romania,44.362222,28.488333
1449,Canon City,Canon City,United States,38.428026,-105.105842
1450,Parvaud,Cognac,France,45.658333,-0.3175
1451,Municipal,Claremont,United States,43.370432,-72.368677
1452,Changhai,Changhai,China,39.266389,122.666944
1453,Cloncurry,Cloncurry,Australia,-20.668611,140.504444
1454,Blosser Municipal,Concordia,United States,39.549251,-97.652317
1455,Sindal,Sindal,Denmark,57.503525,10.229372
1456,Carlsbad,Carlsbad,United States,32.337472,-104.263278
1457,Chulman,Chulman,Russian Federation,56.913917,124.913819
1458,Chino,Chino,United States,33.974779,-117.636483
1459,Neerlerit Inaat,Neerlerit Inaat,Greenland,70.743333,-22.660556
1460,Camba Punta,Corrientes,Argentina,-27.445503,-58.761864
1461,Chanaral,Chanaral,Chile,-26.332542,-70.607308
1462,Cairns,Cairns,Australia,-16.885833,145.755278
1463,Charata,Charata,Argentina,-27.2,-61.2
1464,Martin Johnson,Chanute,United States,37.668797,-95.485064
1465,Canavieiras,Canavieiras,Brazil,-15.667028,-38.954667
1466,TSTC Waco Airport,"Waco, TX",United States,31.637806,-97.074139
1467,Chiang Mai International,Chiang Mai,Thailand,18.766847,98.962644
1468,Canyonlands Field,Moab,United States,38.754956,-109.754844
1469,Cangamba,Cangamba,Angola,-13.710556,19.861111
1470,Columbia,Columbia,United States,38.030428,-120.414554
1471,Coolibah,Coolibah,Australia,-15.548333,130.961943
1472,Concordia,Concordia,Argentina,-31.296944,-57.996631
1473,Yellowstone Regional,Cody/Yellowstone,United States,44.520194,-109.023806
1474,Patrick AFB,Cocoa,United States,28.234963,-80.609985
1475,Mandinga,Condoto,Colombia,5.083333,-76.7
1476,Cooch Behar,Cooch Behar,India,26.330508,89.467203
1477,Merritt Island,Cocoa,United States,28.341611,-80.685472
1478,Coonabarabran,Coonabarabran,Australia,-31.3325,149.267222
1479,Cochin International,Kochi,India,10.151994,76.401906
1480,Isle Of Coll,Isle Of Coll,United Kingdom,56.6,-6.617
1481,Coleman,Coleman,United States,31.841139,-99.403611
1482,Concord,Concord,United States,43.202722,-71.502278
1483,Cotonou,Cotonou,Benin,6.357228,2.384353
1484,Cooperstown - Westville Airport,"Cooperstown, NY",United States,42.629242,-74.890988
1485,Choibalsan,Choibalsan,Mongolia,48.135672,114.646378
1486,Pajas Blancas,Cordoba,Argentina,-31.323619,-64.207953
1487,Colorado Springs,Colorado Springs,United States,38.805806,-104.700778
1488,Cotulla,Cotulla,United States,28.456694,-99.218333
